Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,8/31/2022 7:20,FALSE,Saginaw Running,12,"1,314",1:23:43,0,0,167,178,6:58,5:42,16,16,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,13,0,1:23:41,1:26:00,576,604
Running,8/30/2022 13:16,FALSE,Saginaw Running,11.01,"1,191",1:12:25,0,0,167,179,6:35,5:41,16,16,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,12,0,1:12:21,1:13:52,584,607
Running,8/29/2022 7:30,FALSE,Saginaw Running,9,981,1:03:39,0,0,167,176,7:04,6:28,29,29,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,10,0,1:03:38,1:07:43,584,606
Running,8/28/2022 8:28,FALSE,Saginaw County Running,15,"1,627",1:38:04,0,0,171,178,6:32,5:51,27,27,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,16,0,1:38:01,1:38:35,582,605
Running,8/27/2022 18:35,FALSE,Saginaw Running,5.5,606,0:40:26,0,0,165,174,7:21,7:02,13,13,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:35.3,6,0,0:40:25,0:40:26,584,604
Running,8/27/2022 9:58,FALSE,Saginaw Running,10.33,"1,127",1:14:14,0,0,164,175,7:11,6:01,16,16,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:15.1,11,0,1:14:12,1:20:15,581,599
Running,8/26/2022 7:30,FALSE,Saginaw Running,1,108,07:37.0,0,0,163,171,7:36,6:45,--,--,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,2,0,07:34.9,0:13:05,591,591
Running,8/26/2022 6:35,FALSE,Saginaw Running,8,865,0:51:09,0,0,169,181,6:23,5:32,20,23,1.49,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,9,0,0:51:08,0:53:17,584,600
Running,8/25/2022 8:20,FALSE,Otsego County Running,11,"1,201",1:20:43,0,0,165,182,7:20,5:34,462,481,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,12,0,1:20:41,1:27:54,"1,262","1,391"
Running,8/24/2022 10:47,FALSE,Otsego County Running,1,107,08:46.4,0,0,164,174,8:45,7:42,--,112,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,2,0,08:46.0,09:12.5,"1,276","1,402"
Running,8/24/2022 10:09,FALSE,Otsego County Running,4.15,447,0:27:40,0,0,168,192,6:40,4:46,179,149,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:15.0,10,0,0:27:39,0:28:12,"1,257","1,409"
Running,8/24/2022 9:31,FALSE,Otsego County Running,3.01,328,0:21:09,0,0,167,178,7:02,6:18,177,149,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:21:08,0:21:17,"1,276","1,401"
Running,8/23/2022 15:24,FALSE,Otsego County Running,11,"1,204",1:19:56,0,0,166,182,7:16,6:30,376,380,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,12,0,1:19:55,1:20:48,"1,289","1,498"
Running,8/22/2022 9:01,FALSE,Fenton Running,15,"1,630",1:40:09,0,0,166,175,6:40,5:46,120,119,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,16,0,1:40:07,1:49:52,870,932
Running,8/20/2022 10:18,FALSE,Grand Blanc Running,8,881,0:59:12,0,0,164,173,7:24,6:36,158,161,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,9,0,0:59:11,1:08:12,867,922
Running,8/19/2022 10:59,FALSE,Fenton Running,9,976,1:03:17,0,0,164,171,7:02,6:36,52,56,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,10,0,1:03:15,1:18:34,870,933
Running,8/18/2022 14:43,FALSE,Oakland County Running,6.01,649,0:43:39,0,0,168,183,7:16,5:46,317,307,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,7,0,0:43:38,0:47:56,981,"1,115"
Running,8/18/2022 9:24,FALSE,Oakland County Running,6.01,647,0:40:49,0,0,167,182,6:48,5:54,312,295,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,7,0,0:40:49,0:46:19,981,"1,106"
Running,8/18/2022 9:04,FALSE,Oakland County Running,3,320,0:17:54,0,0,173,193,5:58,4:49,194,197,1.56,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.6,4,0,0:17:54,0:17:54,981,"1,086"
Running,8/18/2022 8:43,FALSE,Oakland County Running,1,105,08:00.2,0,0,165,174,7:58,7:32,--,33,1.22,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,2,0,08:00.2,08:00.2,"1,008","1,058"
Running,8/17/2022 8:54,FALSE,Oakland County Running,8,865,0:56:45,0,0,168,178,7:05,6:13,455,433,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,9,0,0:56:44,1:04:31,"1,014","1,130"
Running,8/16/2022 11:42,FALSE,Oakland County Running,11.01,"1,193",1:18:55,0,0,167,184,7:10,6:10,522,530,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,12,0,1:18:52,1:40:29,"1,009","1,183"
Running,8/15/2022 18:17,FALSE,Grand Blanc Running,8,877,0:57:37,0,0,165,240,7:12,5:38,62,65,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,9,0,0:57:35,0:58:41,830,861
Running,8/12/2022 10:24,FALSE,Saginaw Running,10.01,"1,079",1:07:17,0,0,168,184,6:43,4:59,20,20,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:30.2,27,0,1:07:13,1:10:15,584,604
Running,8/11/2022 7:56,FALSE,Saginaw Running,12.01,"1,314",1:24:00,0,0,166,240,7:00,5:27,23,23,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,13,0,1:23:57,1:32:52,604,633
Running,8/10/2022 8:11,FALSE,Saginaw Running,13.01,"1,421",1:29:49,0,0,167,177,6:54,6:23,32,32,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,14,0,1:29:47,1:34:59,581,602
Running,8/7/2022 5:37,FALSE,Livingston County Running,15,"1,639",1:42:30,0,0,170,178,6:50,6:01,250,242,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,16,0,1:42:27,1:49:25,855,961
Running,8/6/2022 10:19,FALSE,Grand Blanc Running,8,880,0:59:34,0,0,167,176,7:27,6:50,155,158,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,9,0,0:59:32,1:13:44,868,922
Running,8/5/2022 20:19,FALSE,Livingston County Running,3,327,0:20:57,0,0,168,180,6:59,6:39,192,190,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,4,0,0:20:57,0:20:57,931,"1,051"
Running,8/5/2022 11:53,FALSE,Saginaw Running,10,"1,085",1:06:31,0,0,168,182,6:39,5:46,20,20,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,11,0,1:06:29,1:15:47,584,605
Running,8/3/2022 7:06,FALSE,Fenton Running,12,"1,315",1:24:02,0,0,167,178,7:00,6:10,156,148,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,13,0,1:24:00,1:26:18,843,919
Running,8/2/2022 20:02,FALSE,Grand Blanc Running,4,444,0:30:56,0,0,164,173,7:44,7:12,30,28,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,5,0,0:30:55,0:30:56,823,863
Running,8/2/2022 7:12,FALSE,Fenton Running,11.01,"1,210",1:21:31,0,0,168,178,7:24,6:47,412,412,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,12,0,1:21:29,1:31:24,899,"1,071"
Running,8/1/2022 7:12,FALSE,Genesee County Running,10.01,"1,101",1:12:51,0,0,167,178,7:17,6:49,168,174,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.1,11,0,1:12:49,1:12:55,837,901
Running,7/31/2022 8:06,FALSE,Grand Blanc Running,14.01,"1,519",1:30:33,0,0,170,240,6:28,5:48,262,265,1.47,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,15,0,1:30:31,1:39:02,864,943
Running,7/30/2022 10:16,FALSE,Grand Blanc Running,11.01,"1,213",1:19:42,0,0,167,180,7:14,6:06,169,161,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,12,0,1:19:40,1:28:38,868,922
Running,7/29/2022 10:28,FALSE,Saginaw County Running,12,"1,315",1:24:39,0,0,168,178,7:03,6:19,31,31,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,13,0,1:24:35,1:29:28,582,605
Running,7/28/2022 18:09,FALSE,Saginaw Running,4,444,0:29:41,0,0,166,173,7:25,6:41,7,7,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,5,0,0:29:40,0:30:31,594,604
Running,7/28/2022 11:58,FALSE,Saginaw Running,12,"1,307",1:25:32,0,0,165,174,7:08,6:02,39,39,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,13,0,1:25:29,1:31:16,584,627
Running,7/26/2022 14:18,FALSE,Livingston County Running,12,"1,309",1:24:13,0,0,167,180,7:01,5:30,392,392,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,13,0,1:24:08,1:27:17,889,"1,113"
Running,7/25/2022 6:30,FALSE,Fenton Running,15,"1,643",1:43:12,0,0,167,177,6:53,6:03,187,187,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,16,0,1:43:09,1:43:23,827,909
Running,7/23/2022 10:15,FALSE,Grand Blanc Running,10,"1,093",1:12:34,0,0,166,174,7:15,6:35,191,186,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,11,0,1:12:33,1:18:30,867,922
Running,7/22/2022 20:07,FALSE,Genesee County Running,4,435,0:27:46,0,0,169,176,6:56,6:34,66,66,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,5,0,0:27:45,0:27:46,867,922
Running,7/22/2022 10:32,FALSE,Saginaw Running,12,"1,311",1:24:45,0,0,167,182,7:04,5:08,23,23,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,13,0,1:24:43,1:26:04,584,604
Running,7/20/2022 6:41,FALSE,Oakland County Running,12,"1,311",1:24:34,0,0,169,180,7:03,6:22,330,352,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.7,13,0,1:24:31,1:29:47,900,"1,010"
Running,7/19/2022 7:24,FALSE,Saginaw County Running,11,"1,195",1:16:55,0,0,167,176,6:59,6:34,19,19,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,12,0,1:16:54,1:20:11,582,600
Running,7/18/2022 8:11,FALSE,Saginaw Running,9.01,980,1:03:12,0,0,170,236,7:01,6:25,26,23,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,10,0,1:03:11,1:11:05,604,633
Running,7/17/2022 12:21,FALSE,Livingston County Running,12.02,"1,311",1:26:19,0,0,167,200,7:11,6:26,412,465,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:09.4,13,0,1:26:14,1:42:16,900,"1,093"
Running,7/16/2022 10:11,FALSE,Grand Blanc Running,9,986,1:05:08,0,0,168,178,7:14,6:32,159,153,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,10,0,1:05:06,1:10:15,867,922
Running,7/14/2022 18:13,FALSE,Grand Blanc Running,5,552,0:38:34,0,0,165,177,7:43,6:56,74,74,1.26,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,6,0,0:38:33,0:42:01,808,853
Running,7/14/2022 8:13,FALSE,Saginaw Running,9,981,1:03:26,0,0,168,186,7:03,6:25,16,16,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,10,0,1:03:24,1:05:00,584,604
Running,7/13/2022 7:03,FALSE,Saginaw Running,12,"1,306",1:24:24,0,0,168,183,7:02,6:19,55,56,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,13,0,1:24:22,1:27:01,590,630
Running,7/12/2022 8:38,FALSE,Saginaw Running,11.01,"1,227",1:15:41,0,0,168,177,6:53,5:59,26,26,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,12,0,1:15:35,1:17:59,584,617
Running,7/10/2022 9:10,FALSE,Mackinac Island Running,14,"1,530",1:34:22,0,0,167,173,6:44,6:09,310,306,1.43,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,15,0,1:34:19,1:43:08,580,684
Cycling,7/9/2022 13:02,FALSE,Mackinac Island Cycling,16.6,812,4:10:58,0,0,--,--,4,19.2,494,498,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,39:20.8,4,0,3:32:08,4:10:58,580,900
Running,7/9/2022 8:02,FALSE,Mackinac Island Running,8,859,0:50:17,0,0,169,176,6:17,5:48,164,154,1.51,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,9,0,0:50:15,0:50:17,580,654
Running,7/8/2022 6:48,FALSE,Marion Running,11,"1,201",1:18:46,0,0,167,176,7:09,6:17,194,208,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,12,0,1:18:44,1:18:46,"1,099","1,173"
Running,7/7/2022 10:02,FALSE,Saginaw Running,10,"1,094",1:07:01,0,0,168,179,6:42,6:09,16,16,1.43,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.6,11,0,1:06:59,1:08:11,584,604
Running,7/6/2022 8:40,FALSE,Saginaw Running,11,"1,198",1:16:54,0,0,167,176,6:59,6:33,16,16,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,12,0,1:16:53,1:17:14,584,604
Running,7/5/2022 7:33,FALSE,Fenton Running,10,"1,090",1:11:18,0,0,166,175,7:08,6:19,73,71,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,11,0,1:11:15,1:15:05,876,935
Running,7/3/2022 8:14,FALSE,Bangor Running,14,"1,526",1:36:30,0,0,169,176,6:53,6:09,7,7,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,15,0,1:36:26,1:40:45,581,591
Running,7/2/2022 9:05,FALSE,Saginaw Running,9,982,1:04:29,0,0,167,180,7:10,6:39,23,21,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,10,0,1:04:25,1:11:07,610,633
Running,6/30/2022 10:06,FALSE,Saginaw Running,5,547,0:34:49,0,0,167,175,6:57,6:03,13,13,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,6,0,0:34:48,0:36:01,584,604
Running,6/29/2022 6:44,FALSE,Genesee County Running,11,"1,199",1:18:08,0,0,168,178,7:06,6:22,171,171,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,12,0,1:18:06,1:18:49,837,900
Running,6/28/2022 7:11,FALSE,Grand Blanc Running,10,"1,092",1:11:20,0,0,167,178,7:08,6:05,147,141,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,11,0,1:11:19,1:11:20,867,922
Running,6/27/2022 16:32,FALSE,Grand Blanc Running,9.01,979,0:58:50,0,0,169,180,6:32,6:03,103,103,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.4,10,0,0:58:48,1:03:44,814,876
Running,6/26/2022 8:19,FALSE,Livingston County Running,13,"1,426",1:31:59,0,0,168,178,7:04,6:17,290,309,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,14,0,1:31:57,1:45:49,871,978
Running,6/25/2022 10:10,FALSE,Grand Blanc Running,6,654,0:43:46,0,0,166,176,7:17,6:30,78,92,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,7,0,0:43:45,0:47:40,868,922
Running,6/23/2022 6:38,FALSE,Grand Blanc Running,8,878,0:58:46,0,0,167,177,7:20,6:12,165,170,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,9,0,0:58:44,1:00:01,868,922
Running,6/22/2022 7:17,FALSE,MWLR,10,"1,091",1:11:13,0,0,166,176,7:07,6:34,103,108,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,11,0,1:11:11,1:15:54,837,900
Running,6/21/2022 7:14,FALSE,Tuesday Easy Run,9.01,977,1:04:01,0,0,166,176,7:06,6:37,84,90,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,10,0,1:03:58,1:07:26,870,935
Running,6/20/2022 7:06,FALSE,Monday Easy Run,9,981,1:03:09,0,0,168,178,7:01,6:02,88,85,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,10,0,1:03:07,1:03:14,843,909
Running,6/19/2022 8:08,TRUE,Fenton Long Run,13.01,"1,415",1:27:24,0,0,170,182,6:43,4:47,556,569,1.41,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,14,0,1:27:22,1:31:09,934,"1,158"
Running,6/18/2022 15:30,FALSE,Saturday Easy Run,6,659,0:42:45,0,0,167,178,7:07,6:24,272,279,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,7,0,0:42:44,0:42:45,931,"1,057"
Running,6/17/2022 7:57,FALSE,Friday Easy Run,8,872,0:53:56,0,0,166,174,6:44,6:05,3,3,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,9,0,0:53:55,0:55:56,582,594
Running,6/16/2022 10:41,FALSE,Thursday Easy Run,9,975,1:03:16,0,0,167,177,7:02,6:35,20,20,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,10,0,1:03:14,1:14:21,584,600
Running,6/15/2022 9:48,FALSE,WORST RUN OF MY LIFE,7,768,0:51:50,0,0,165,185,7:24,6:36,23,23,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,8,0,0:51:47,1:16:17,592,620
Running,6/14/2022 19:32,FALSE,Tuesday Easy Run,8,874,0:55:46,0,0,165,173,6:58,6:28,16,16,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,9,0,0:55:44,1:00:40,584,600
Running,6/13/2022 11:22,TRUE,Saginaw Long Run,12,"1,305",1:24:44,0,0,166,242,7:04,6:08,49,49,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,13,0,1:24:40,1:37:32,591,633
Running,6/11/2022 17:41,FALSE,Saturday Easy Run,4,436,0:27:45,0,0,166,175,6:56,6:22,10,7,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.7,5,0,0:27:45,0:27:53,594,604
Running,6/10/2022 10:42,FALSE,Friday Easy Run,6,657,0:43:21,0,0,168,178,7:13,6:04,16,16,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,7,0,0:43:20,0:44:30,584,604
Running,6/9/2022 8:05,FALSE,Thursday Easy Run,7,766,0:48:07,0,0,169,180,6:52,6:22,13,16,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.9,8,0,0:48:06,0:49:18,604,630
Running,6/8/2022 8:59,FALSE,MWLR,8,871,0:55:27,0,0,167,176,6:56,6:35,36,36,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,9,0,0:55:25,0:57:15,584,606
Running,6/7/2022 14:48,FALSE,Tuesday Easy Run,5,544,0:34:47,0,0,165,176,6:57,6:05,8,10,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,6,0,0:34:44,0:35:09,591,604
Running,6/5/2022 8:23,TRUE,First Long Run Back,10,"1,092",1:09:45,0,0,168,176,6:58,6:28,96,92,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:00.8,11,0,1:09:44,1:12:02,870,935
Running,6/3/2022 8:12,FALSE,End of week long run?,8.01,876,0:56:19,0,0,167,177,7:02,6:19,313,320,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.2,9,0,0:56:17,1:01:59,934,"1,157"
Running,6/2/2022 11:50,FALSE,2nd Day Back,7.5,818,0:52:48,0,0,165,175,7:02,6:36,414,404,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:25.8,8,0,0:52:47,0:58:34,933,"1,061"
Running,5/31/2022 13:13,FALSE,Summer 2022 Training Begins!,4,434,0:28:51,0,0,163,174,7:12,6:20,22,23,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,5,0,0:28:50,0:33:06,594,617
